group,command,decision,migrated_to,reason,actions
Управление Microsoft Word,Перемещение курсора вправо,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Перемещение курсора вниз,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Перемещение курсора вверх,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В начало строки,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В конец строки,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В начало документа,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В конец документа,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Сохранить как,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Презентация в новом окне,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Новый слайд,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Удалить слайд,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Дублировать объект,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Группировать выделенные объекты,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разгрупировать выделенные объекты,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Копировать форматирование,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Применить форматирование,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Гиперссылка,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Повтор последнего действия,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Слайд шоу,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Настройка слайд шоу,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Следующий слайд(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Предыдущий слайд(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Черный экран(скрыть на время) (в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Черный экран(скрыть на время) (в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Белый экран(скрыть на время) (в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Карандаш(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Ластик(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Сохранить презентацию как,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Полужирный,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Курсив,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Подчеркнутый,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Зачеркнутый,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Разместить параграф по центру,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разместить параграф произвольно,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разместить параграф по правому краю,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разместить параграф по левому краю,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Настройки шрифта,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Настройки абзаца,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Добавить таблицу,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause
PowerPoint,Добавить изображение,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Фотоальбом ,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Надпись ( в отдельном объекте),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Декорированная надпись,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Дата и время,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Параметры страниц,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Ориентация слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Темы,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Темы (загрузить с пк),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Сохрвнить текущую тему,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,(отдельно) Цвет темы,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,(отдельно) Шрифт темы,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,(отдельно) Стиль фона,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Схема перехода слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Звук перехода слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Скорость перехода слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Просмотреть анимацию слайдов,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Применить параметры переходов ко всем слайдам ,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,убрать\скрыть линейку,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
Управление Ютубом,Остановка/ воспроизведение видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,Sound.PlayWav; InputKeys.Send
Управление Ютубом,Перемотать вперед ( на 10 сек),adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,Sound.PlayWav; InputKeys.Send
Управление Ютубом,Перемотать видео (на 10 сек назад),adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Следующее видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Предыдущее видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на начало видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 10% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 20% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 30% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 40% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 50% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 60% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 70% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 80% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 90% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Полноэкранный режим,migrate_now,intents/system-control.yaml#fullscreen,Merged into the existing fullscreen intent family.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Субтитры,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,2 режима просмотра видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Мини-проигрыватель,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Звук,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,Sound.PlayWav; InputKeys.Send
jarvis system,при запуске,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Window.Close; Sound.PlayWav
jarvis system,включи секундомер,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Sound.PlayWav; Launch.OpenFile; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
jarvis system,Круг,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,InputKeys.Send
jarvis system,поставь будильник,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Sound.PlayWav; Launch.OpenFile; VC.Pause; Window.Close
jarvis system,поставь таймер,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Sound.PlayWav; Launch.RawParam
фильмы,включи фильм Железный человек,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Железный человек 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Невероятный халк,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Тор,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Первый мститель,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Мстители,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Железный человек 3,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Тор 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Первый мститель: Другая война,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Стражи Галактики,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Мстители: Эра Альтрона,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек-муравей,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Первый мститель: Противостояние,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Доктор Стрэндж,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
